step,__da,_da,t,crashed,actrState,lC,x,v,a,lane
0,0,0,0,false,1,false,0,20,0,1
1,0,0,1,false,2,false,20,20,3,1
2,0,0,1,false,1,false,20,20,3,1
3,0,0,2,false,2,false,40,23,3,1
4,0,0,2,false,1,false,40,23,3,1
5,0,0,3,false,2,false,63,26,3,1
6,0,0,3,false,1,false,63,26,3,1
7,0,0,4,false,2,false,89,29,2,1
8,0,0,4,false,1,false,89,29,2,1
9,0,0,5,false,2,false,118,31,2,1
10,0,0,5,false,1,true,118,31,2,1
11,0,0,11,false,2,false,292,31,0,2
12,0,0,11,false,1,false,292,31,0,2
13,0,0,12,false,2,false,323,31,0,2
14,0,0,12,false,1,false,323,31,0,2
15,0,0,13,false,2,false,354,31,0,2
16,0,0,13,false,1,false,354,31,0,2
17,0,0,14,false,2,false,385,31,0,2
18,0,0,14,false,1,false,385,31,0,2
19,0,0,15,false,2,false,416,31,0,2
20,0,0,15,false,1,false,416,31,0,2
21,0,0,16,false,2,false,447,31,0,2
22,0,0,16,false,1,false,447,31,0,2
23,0,0,17,false,2,false,478,31,0,2
24,0,0,17,false,1,false,478,31,0,2
25,1,1,18,false,2,false,500,31,0,2
